"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Southern University and A & M College","P.O. Box 9374, Harding Blvd, Baton Rouge, Louisiana 70813","www.subr.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","7140","6324","28%","NA","Fall 2014","$16,518","-","160621","00202500"
"Southern University at New Orleans","6400 Press Drive, New Orleans, Louisiana 70126","www.suno.edu/","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","2309","1894","19%","NA","Fall 2014","$11,500","-","160630","00202600"
"Southern University at Shreveport","3050 Martin Luther King Dr, Shreveport, Louisiana 71107","www.susla.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","Yes","2932","2932","11%","16%","Fall 2017","$9,122","-","160649","00768600"
"Southern University Law Center","Baton Rouge, Louisiana 70813","www.sulc.edu/","4-year, Public","Doctor's degree - professional practice","City: Midsize","No","669","","NA","NA","Fall 2014","NA","-","440916","00202500"
"Southwestern Christian College","200 Bowser Circle, Terrell, Texas 75160-4812","www.swcc.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","106","106","6%","NA","Fall 2014","$8,495","-","228486","00361800"
"Spelman College","350 Spelman Lane SW, Atlanta, Georgia 30314-4399","www.spelman.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","2120","2120","75%","14%","Fall 2014","$43,920","-","141060","00159400"
"St Philip's College","1801 Martin Luther King Dr, San Antonio, Texas 78203-2098","www.alamo.edu/spc/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","12962","12962","29%","13%","Fall 2017","$6,916","-","227854","00360800"
"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama 35401","https://stillman.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","861","861","22%","51%","Fall 2014","$20,230","-","102270","00104400"
"Talladega College","627 West Battle Street, Talladega, Alabama 35160","www.talladega.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1239","1230","30%","8%","Fall 2014","$17,180","-","102298","00104600"
"Tennessee State University","3500 John A. Merritt Blvd, Nashville, Tennessee 37209-1561","www.tnstate.edu/","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","8081","5875","26%","NA","Fall 2014","$11,139","-","221838","00352200"
"Texas College","2404 N. Grand Avenue, Tyler, Texas 75702","www.texascollege.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","940","940","14%","NA","Fall 2014","$15,178","-","228884","00363800"
"Texas Southern University","3100 Cleburne St, Houston, Texas 77004","www.tsu.edu/","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","9034","7092","19%","36%","Fall 2014","$13,481","-","229063","00364200"
"Tougaloo College","500 W County Line Rd, Tougaloo, Mississippi 39174","www.tougaloo.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","716","708","40%","30%","Fall 2014","$12,967","-","176406","00243900"
"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama 36088-1920","www.tuskegee.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","2876","2394","52%","NA","Fall 2014","$36,528","-","102377","00105000"
"University of Arkansas at Pine Bluff","1200 N University Mail Slot 4789, Pine Bluff, Arkansas 71601","www.uapb.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2498","2382","39%","25%","Fall 2014","$10,684","-","106412","00108600"
"University of Maryland Eastern Shore","J.T. Williams Hall, Princess Anne, Maryland 21853-1299","www.umes.edu/","4-year, Public","One but less than two years certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Fringe","Yes","2886","2333","41%","38%","Fall 2014","$15,633","-","163338","00210600"
"University of the District of Columbia","4200 Connecticut Ave NW, Washington, District of Columbia 20008","www.udc.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","4199","3828","23%","22%","Fall 2014","$16,125","-","131399","00144100"
"University of the District of Columbia-David A Clarke School of Law","4340 Connecticut Ave NW, Washington, District of Columbia 20008","www.law.udc.edu/","4-year, Public","Doctor's degree - professional practice","City: Large","No","253","","NA","NA","Fall 2014","NA","-","363721","00144102"
"University of the Virgin Islands","2 John Brewers Bay, Charlotte Amalie, Virgin Islands 00802-9990","www.uvi.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Town: Remote","Yes","2084","1850","30%","30%","Fall 2014","$9,957","-","243665","00394600"
"University of the Virgin Islands-Albert A. Sheen","St. Croix, St. Croix, Virgin Islands 00850","www.uvi.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Town: Remote","Yes","","","NA","NA","Fall 2014","NA","-","24366501","00394601"
"Virginia State University","1 Hayden Drive, Petersburg, Virginia 23806","www.vsu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","4365","4025","46%","20%","Fall 2014","$18,332","-","234155","00376400"
"Virginia Union University","1500 N Lombardy St, Richmond, Virginia 23220","www.vuu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree","City: Midsize","Yes","1451","1136","36%","17%","Fall 2014","$18,722","-","234164","00376600"
"Virginia University of Lynchburg","2058 Garfield Ave, Lynchburg, Virginia 24501","www.vul.edu/","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree","City: Small","Yes","270","229","27%","44%","Fall 2014","$17,878","-","234137","00376200"
"Voorhees College","491 Porter Drive, Denmark, South Carolina 29042","www.voorhees.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","510","510","41%","NA","Fall 2014","$16,223","-","218919","00345500"
"West Virginia State University","Rte 25, Institute, West Virginia 25112-1000","www.wvstateu.edu/","4-year, Public","One but less than two years certificate|Bachelor's degree|Master's degree","Suburb: Midsize","Yes","4120","4009","30%","17%","Fall 2014","$12,399","-","237899","00382600"
"Wilberforce University","1055 N Bickett Rd, Wilberforce, Ohio 45384-1001","www.wilberforce.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Fringe","Yes","566","553","39%","NA","Fall 2014","$13,614","-","206491","00314100"
"Wiley College","711 Wiley Ave, Marshall, Texas 75670","wileyc.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","712","712","31%","28%","Fall 2014","$14,687","-","229887","00366900"
"Winston-Salem State University","601 Martin Luther King Jr Dr, Winston-Salem, North Carolina 27110-0001","www.wssu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","5121","4656","50%","29%","Fall 2014","$11,868","-","199999","00298600"
"Xavier University of Louisiana","1 Drexel Drive, New Orleans, Louisiana 70125-1098","https://www.xula.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","3325","2530","50%","36%","Fall 2014","$19,066","-","160904","00203200"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
